zip5,lat,lon
46360,41.68934,-86.869265
46365,41.611548,-86.545465
46366,41.215705,-86.76804
46368,41.59082,-87.180707
46371,41.688094,-86.595221
46373,41.448355,-87.467901
46374,41.204502,-86.897332
46375,41.491818,-87.448746
46376,41.184667,-87.47582
46377,41.194734,-87.338678
46379,41.167886,-87.439972
46381,41.168551,-87.324634
46382,41.461306,-86.761986
46383,41.463591,-87.008254
46385,41.460523,-87.129785
46390,41.419466,-86.881518
46391,41.554106,-86.918985
46392,41.178401,-87.048317
46393,41.508211,-87.17762
46394,41.677689,-87.489491
46402,41.599334,-87.330662
46403,41.608101,-87.262209
46404,41.584047,-87.37403
46405,41.575007,-87.262305
46406,41.602997,-87.408048
46407,41.57846,-87.330184
46408,41.545938,-87.368484
46409,41.548307,-87.324201
46410,41.480207,-87.333065
46501,41.221645,-86.245803
46502,41.259415,-85.976238
46504,41.301217,-86.111595
46506,41.462622,-86.1724
46507,41.720973,-85.818067
46508,41.150407,-85.976783
46510,41.121661,-85.870707
46511,41.21942,-86.426977
46514,41.722703,-85.977009
46516,41.676594,-85.944127
46517,41.62729,-85.997855
46524,41.305641,-86.014116
46526,41.558787,-85.87665
46528,41.600525,-85.784864
46530,41.740931,-86.126918
46531,41.356985,-86.519382
46532,41.411435,-86.611346
46534,41.285345,-86.617818
46536,41.514551,-86.298011
46537,41.459879,-86.310197
46538,41.330237,-85.823415
46539,41.163149,-86.026511
46540,41.680013,-85.698197
46542,41.396628,-85.869691
46543,41.535194,-85.672121
46544,41.615082,-86.14782
46545,41.693491,-86.146569
46550,41.445994,-86.000647
46552,41.706297,-86.481901
46553,41.479524,-85.849219
46554,41.557413,-86.416992
46555,41.329174,-85.680113
46556,41.707119,-86.251338
46561,41.663976,-86.075079
46562,41.208342,-85.684898
46563,41.356728,-86.327261
46565,41.69485,-85.577499
46567,41.416524,-85.725422
46570,41.197926,-86.121792
46571,41.57559,-85.547199
46573,41.544364,-86.069668
46574,41.481969,-86.486555
46580,41.213832,-85.869547
46582,41.280601,-85.854448
46590,41.217143,-85.813135
46595,41.526336,-86.166605
46601,41.670274,-86.252661
46613,41.655494,-86.258431
46614,41.603188,-86.27921
46615,41.673953,-86.21171
46616,41.697826,-86.266028
46617,41.684553,-86.234758
46619,41.660942,-86.353751
46628,41.720236,-86.32023
46635,41.714357,-86.201743
46637,41.733701,-86.24147
46701,41.360791,-85.431238
46702,40.831378,-85.628114
46703,41.649589,-85.00655
46704,41.103975,-85.292577
46705,41.51869,-85.059603
46706,41.341594,-85.032655
46710,41.342353,-85.242141
46711,40.661951,-84.926879
46714,40.722652,-85.176526
46721,41.423097,-84.876651
46723,41.245823,-85.326752
46725,41.148544,-85.475768
46730,41.458442,-85.151597
46731,40.793538,-85.099634
46732,41.379566,-85.622389
46733,40.828228,-84.940039
46737,41.719584,-84.929685
46738,41.318908,-85.148865
46740,40.60428,-84.964762
46741,41.216995,-84.951172
46742,41.548594,-84.879092
46743,41.215359,-84.851125
46745,40.951657,-85.009422
46746,41.725354,-85.344932
46747,41.565693,-85.158031
46748,41.248585,-85.161149
46750,40.87846,-85.496399
46755,41.449284,-85.275125
46759,40.603927,-85.178498
46760,41.345491,-85.552692
46761,41.634364,-85.377512
46763,41.301427,-85.232688
46764,41.224389,-85.620412
46765,41.232491,-85.049255
46766,40.708823,-85.288636
46767,41.470845,-85.570409
46770,40.837684,-85.324251
46771,41.694296,-85.296149
46772,40.721508,-84.913716
46773,40.982149,-84.875605
46774,41.089207,-84.972367
46776,41.721191,-85.16593
46777,40.869136,-85.147577
46779,41.577275,-85.039486
46781,40.63238,-85.26889
46783,40.969261,-85.357314
46784,41.500464,-85.388423
46785,41.323197,-84.877756
46786,41.532044,-85.272374
46787,41.066251,-85.619724
46788,41.272928,-84.908026
46791,40.837816,-85.232101
46792,40.684316,-85.44333
46793,41.452285,-85.01529
46794,41.46219,-85.452201
46795,41.558909,-85.327355
46797,41.128386,-84.858985
46798,40.938582,-85.214712
46799,40.911504,-85.285755
46802,41.069304,-85.16516
46803,41.069874,-85.088544
46804,41.052918,-85.24165
46805,41.10011,-85.117711
46806,41.046818,-85.08837
46807,41.044895,-85.147601
46808,41.09775,-85.177129
46809,40.998681,-85.206185
46814,41.050882,-85.299234
46815,41.10277,-85.058719
46816,41.000785,-85.036179
46818,41.155856,-85.253014
46819,40.974587,-85.133593
46825,41.152254,-85.126874
46835,41.152961,-85.040749
46845,41.212012,-85.108798
46901,40.531266,-86.169537
46902,40.437275,-86.094553
46910,41.043843,-86.036355
46911,40.637417,-85.945821
46913,40.502996,-86.503468
46914,40.628598,-86.094769
46915,40.477734,-86.386591
46917,40.626869,-86.475047
46919,40.594162,-85.869637
46920,40.464405,-86.494827
46922,41.138187,-86.413427
46923,40.607538,-86.644141
46926,40.887938,-86.049986
46928,40.405898,-85.682305
46929,40.554748,-86.476387
46930,40.407249,-85.571574
46931,40.947539,-86.26427
46932,40.597241,-86.250469
46933,40.479845,-85.582288
46936,40.484302,-85.927782
46938,40.459646,-85.626941
46939,40.992876,-86.400545
46940,40.690906,-85.689231
46941,40.823122,-85.688926
46943,40.975386,-85.84293
46946,41.040424,-85.728445
46947,40.759919,-86.376113
46950,40.888204,-86.364948
46951,40.947573,-86.105392
46952,40.599427,-85.629225
46953,40.519407,-85.645053
46957,40.388298,-85.495961
46958,40.821933,-86.117007
46959,40.620843,-86.107191
46960,41.161352,-86.535546
46961,40.76651,-86.191686
46962,40.988512,-85.768369
46967,40.694682,-86.195106
46968,41.175341,-86.546361
46970,40.760125,-86.061471
46974,40.951908,-85.933516
46975,41.075008,-86.251456
46978,40.856627,-86.512501
46979,40.429495,-86.275875
46982,41.063298,-85.882914
46984,40.667769,-85.830127
46985,40.950787,-86.573883
46986,40.497944,-85.819279
46987,40.568813,-85.765358
46988,40.877117,-86.234743
46989,40.448635,-85.481366
46990,40.897336,-85.731383
46991,40.628038,-85.51421
46992,40.787305,-85.826434
46994,40.667314,-86.254498
46996,41.062011,-86.657974
46998,40.567605,-86.349666
47001,39.072654,-84.965526
47003,39.559685,-84.834261
47006,39.291996,-85.215884
47010,39.501581,-84.848717
47011,38.88162,-85.076128
47012,39.427299,-84.983489
47016,39.372219,-84.890262
47017,38.935524,-85.185933
47018,38.996845,-85.086621
47020,38.817349,-84.934753
47022,39.204919,-84.951755
47023,39.080551,-85.381867
47024,39.476872,-85.199038
47025,39.165537,-84.866315
47030,39.424202,-85.132571
47031,39.124244,-85.156451
47032,39.086912,-85.043666
47034,39.203982,-85.32747
47035,39.309224,-84.905542
47036,39.3912,-85.245798
47037,39.169482,-85.325656
47038,38.850307,-84.849937
47040,38.922057,-84.941033
47041,39.234052,-85.083768
47042,39.01944,-85.255113
47043,38.790365,-85.090993
47060,39.301409,-84.885688
47102,38.765011,-85.792736
47104,38.539834,-85.419857
47106,38.4643,-85.89985
47108,38.640027,-86.248533
47110,38.098852,-86.185044
47111,38.466285,-85.632485
47112,38.195517,-86.162499
47114,38.285817,-86.084556
47115,38.348952,-86.209964
47116,38.324225,-86.621997
47117,38.106616,-85.967376
47118,38.297626,-86.496629
47119,38.371949,-85.881518
47120,38.460364,-86.18872
47122,38.30596,-85.984844
47123,38.267133,-86.479372
47124,38.371492,-86.010607
47125,38.4636,-86.313139
47126,38.547252,-85.776209
47129,38.31313,-85.7686
47130,38.332415,-85.696087
47135,38.048816,-86.074351
47136,38.234699,-85.965569
47137,38.168122,-86.390478
47138,38.682475,-85.584686
47140,38.384299,-86.370695
47141,38.547956,-85.612115
47142,38.079202,-86.213893
47143,38.468623,-85.768154
47145,38.329877,-86.306583
47147,38.592228,-85.543926
47150,38.283579,-85.84759
47160,38.164454,-86.050998
47161,38.321795,-86.103592
47162,38.545859,-85.460041
47163,38.533074,-85.669844
47164,38.413173,-86.095789
47165,38.503446,-86.007002
47166,38.313084,-86.166477
47167,38.61146,-86.095905
47170,38.685201,-85.844056
47172,38.399506,-85.774252
47175,38.376592,-86.568018
47177,38.589732,-85.79176
47201,39.158873,-85.993199
47203,39.230418,-85.832263
47220,38.876334,-86.049073
47223,39.050074,-85.472026
47224,38.888028,-85.215093
47226,39.282458,-85.869112
47227,38.867586,-85.654158
47229,38.807113,-85.86484
47230,38.79238,-85.625116
47231,38.900912,-85.494614
47232,39.110924,-85.790836
47234,39.377368,-85.767883
47235,38.991746,-86.136097
47240,39.306027,-85.478417
47243,38.668701,-85.482235
47244,39.219044,-85.701544
47246,39.299251,-85.767005
47247,39.059531,-85.888139
47250,38.81531,-85.351137
47260,38.836742,-86.197754
47263,39.30944,-85.330177
47264,38.979034,-86.250743
47265,39.014854,-85.630055
47270,38.839337,-85.722862
47272,39.411013,-85.621407
47273,39.07579,-85.736847
47274,38.966511,-85.937722
47280,39.296587,-85.950522
47281,38.788527,-86.106342
47282,38.982353,-85.610731
47283,39.173689,-85.588747
47302,40.126916,-85.382481
47303,40.271643,-85.377772
47304,40.236332,-85.459814
47305,40.194099,-85.385939
47306,40.202551,-85.405126
47320,40.271703,-85.272799
47324,39.741173,-84.851735
47325,39.691163,-85.020243
47326,40.54868,-84.967266
47327,39.827428,-85.175101
47330,39.786249,-85.022256
47331,39.624084,-85.157338
47334,40.118682,-85.524594
47335,39.812537,-85.205175
47336,40.386666,-85.21036
47337,39.802442,-85.437311
47338,40.342416,-85.337425
47339,39.938777,-85.079129
47340,40.180757,-85.133663
47341,39.97232,-84.891734
47342,40.32858,-85.507983
47344,39.878312,-85.465368
47345,39.893863,-85.06018
47346,39.931638,-85.168192
47348,40.466214,-85.340374
47351,39.906345,-85.522131
47352,39.795724,-85.367059
47353,39.623111,-84.925152
47354,40.040842,-85.192539
47355,40.044174,-84.927052
47356,40.031458,-85.507425
47357,39.751359,-85.146917
47358,40.057341,-85.112956
47359,40.551281,-85.283667
47360,40.011265,-85.258203
47361,40.00419,-85.385059
47362,39.930459,-85.36958
47367,40.082648,-85.387219
47368,40.182196,-85.194189
47369,40.507344,-85.142062
47371,40.419044,-84.962812
47373,40.337498,-85.16081
47374,39.831084,-84.889711
47380,40.286745,-85.030029
47381,40.381786,-84.866884
47382,40.23637,-84.917489
47383,40.141861,-85.266121
47384,39.909241,-85.550892
47385,39.832929,-85.446006
47386,40.055073,-85.385654
47387,39.838465,-85.298534
47388,40.005637,-85.443437
47390,40.205666,-84.846408
47393,39.962996,-85.003691
47394,40.167974,-84.987308
47396,40.189183,-85.517178
47401,39.102302,-86.442812
47403,39.085219,-86.61234
47404,39.219531,-86.591137
47405,39.168209,-86.518614
47406,39.177797,-86.515448
47408,39.229815,-86.467254
47420,38.91316,-86.548921
47421,38.863494,-86.45223
47424,39.020048,-86.882428
47427,39.232829,-87.016135
47429,39.273303,-86.615936
47431,39.236601,-86.902939
47432,38.485527,-86.641906
47433,39.355787,-86.641547
47434,39.011912,-86.547286
47436,38.954149,-86.385977
47437,38.714743,-86.676968
47438,39.158471,-87.187501
47441,39.044483,-87.165771
47443,38.958302,-87.100061
47446,38.747202,-86.518135
47448,39.17953,-86.235511
47449,38.92713,-87.003467
47451,38.892959,-86.52355
47452,38.647143,-86.43343
47453,38.939993,-86.771307
47454,38.510025,-86.451821
47455,39.316501,-86.956155
47456,39.465239,-86.691333
47457,38.909139,-86.90475
47458,39.070329,-86.507227
47459,39.113598,-86.750627
47460,39.285969,-86.792025
47462,38.958329,-86.647559
47464,39.299801,-86.649973
47465,39.047972,-87.034871
47467,38.767857,-86.344381
47468,39.270832,-86.392485
47469,38.637574,-86.599158
47470,38.818262,-86.637134
47471,39.143295,-87.005175
47501,38.66206,-87.173647
47512,38.783522,-87.320652
47513,38.304217,-86.714124
47514,38.156199,-86.586209
47515,38.183913,-86.703982
47516,38.771006,-87.419265
47519,38.602712,-86.992695
47520,37.944948,-86.66826
47521,38.408491,-86.721023
47522,38.89232,-86.816735
47523,38.178794,-87.025759
47524,38.49477,-87.610887
47525,38.032359,-86.559701
47527,38.468858,-86.785924
47528,38.833175,-87.253351
47529,38.854967,-87.080001
47531,38.03971,-86.851428
47532,38.221348,-86.860563
47535,38.872348,-87.30767
47536,38.11229,-86.836519
47537,38.074167,-87.036126
47541,38.235278,-87.046164
47542,38.296585,-86.966599
47546,38.418741,-86.9326
47550,38.067184,-86.92131
47551,38.114113,-86.569572
47552,38.114551,-86.999676
47553,38.660629,-86.903996
47557,38.578834,-87.342777
47558,38.646137,-87.040439
47561,38.863914,-87.438327
47562,38.833126,-86.97354
47564,38.483041,-87.093828
47567,38.462709,-87.305017
47568,38.764086,-87.102429
47574,37.950036,-86.562127
47575,38.317808,-86.804462
47576,38.176977,-86.617352
47577,38.149965,-86.808468
47578,38.90234,-87.193521
47579,38.112186,-86.915235
47580,38.355203,-86.767156
47581,38.655694,-86.7626
47584,38.255502,-87.259526
47585,38.26835,-87.158083
47586,38.039082,-86.701989
47588,38.072389,-86.778403
47590,38.360579,-87.100345
47591,38.628561,-87.501485
47596,38.866496,-87.227734
47597,38.654452,-87.298744
47598,38.386945,-87.212902
47601,38.051443,-87.254533
47610,38.065322,-87.409527
47611,38.027918,-87.057458
47612,38.193026,-87.69924
47613,38.158948,-87.417471
47615,37.96966,-86.963824
47616,38.242259,-87.888558
47619,38.183739,-87.30815
47620,37.93189,-87.905701
47630,37.952897,-87.34647
47631,38.109131,-87.901792
47633,38.175909,-87.78789
47634,37.939468,-87.182452
47635,37.883458,-87.100911
47637,38.135722,-87.151327
47638,38.064381,-87.777636
47639,38.176143,-87.572939
47640,38.478176,-87.484032
47648,38.248646,-87.550884
47649,38.353484,-87.451209
47654,38.249532,-87.392319
47660,38.296067,-87.328127
47665,38.27667,-87.722673
47666,38.417797,-87.600469
47670,38.344905,-87.584786
47683,38.275349,-87.377032
47708,37.974624,-87.573265
47710,38.025505,-87.575809
47711,38.015301,-87.536743
47712,37.926457,-87.665531
47713,37.954531,-87.559175
47714,37.956614,-87.521291
47715,37.972431,-87.479646
47720,38.062897,-87.641573
47725,38.106329,-87.524939
47802,39.351585,-87.404885
47803,39.466092,-87.307322
47804,39.497812,-87.389953
47805,39.546274,-87.326483
47807,39.472935,-87.403423
47809,39.471249,-87.410106
47832,39.880882,-87.258433
47833,39.358615,-86.975261
47834,39.525608,-87.122189
47836,39.646104,-87.179079
47837,39.627224,-87.114906
47838,38.961773,-87.383679
47840,39.408055,-87.056514
47841,39.273899,-87.114103
47842,39.678584,-87.463596
47846,39.381475,-87.193771
47847,39.831336,-87.485833
47848,39.042043,-87.261971
47849,39.195304,-87.56374
47850,39.251931,-87.435782
47853,39.5382,-87.072828
47854,39.803019,-87.403057
47855,39.189827,-87.304098
47857,39.524127,-87.091141
47858,39.262171,-87.224587
47859,39.88184,-87.172196
47860,39.721857,-87.330273
47861,39.073459,-87.570355
47862,39.767091,-87.342366
47863,39.589125,-87.454348
47865,39.020999,-87.391428
47866,39.293636,-87.325083
47868,39.411073,-86.902594
47869,39.273774,-87.496791
47871,39.38968,-87.299875
47872,39.753541,-87.153112
47874,39.628499,-87.270746
47876,39.516551,-87.458295
47879,39.19769,-87.378708
47880,39.599748,-87.418844
47881,39.485898,-87.192387
47882,39.091315,-87.410855
47884,39.612406,-87.448085
47885,39.510472,-87.476751
47901,40.417778,-86.889633
47904,40.438632,-86.87692
47905,40.420136,-86.765988
47906,40.479649,-86.989218
47907,40.424395,-86.915485
47909,40.324563,-86.896302
47916,39.98354,-87.055343
47917,40.46684,-87.473426
47918,40.298678,-87.198005
47920,40.540759,-86.833864
47921,40.477139,-87.375389
47922,40.876948,-87.348911
47923,40.610401,-86.940003
47924,40.487945,-86.762846
47925,40.878281,-86.748403
47926,40.780384,-86.595516
47928,39.921337,-87.472313
47929,40.670159,-86.91276
47930,40.237087,-86.742355
47932,40.134328,-87.415242
47933,40.038913,-86.896849
47940,40.117579,-86.746636
47941,40.376134,-86.773975
47942,40.686285,-87.444303
47943,41.063383,-87.273449
47944,40.615919,-87.329704
47946,40.981741,-86.868419
47948,40.777015,-87.281735
47949,40.06054,-87.137329
47950,40.802441,-86.654857
47951,40.789254,-87.444426
47952,39.959649,-87.299119
47954,39.899903,-86.818779
47955,40.193474,-86.866696
47957,41.086146,-86.874731
47958,40.164277,-87.144044
47959,40.862574,-86.900695
47960,40.779015,-86.751024
47963,40.984169,-87.431931
47964,40.95212,-87.298642
47965,39.954473,-86.920191
47966,39.88582,-87.396984
47967,40.19668,-87.001633
47968,39.959518,-86.749957
47969,40.205743,-87.148854
47970,40.46212,-87.143054
47971,40.532018,-87.233923
47974,40.042921,-87.480363
47975,40.449114,-87.253276
47977,40.75592,-87.164601
47978,40.986173,-87.112979
47980,40.752294,-86.909348
47981,40.251488,-86.944732
47982,40.197348,-87.527069
47983,40.279131,-86.767288
47987,40.125792,-87.23303
47989,39.890345,-87.04904
47990,40.061834,-87.054281
47991,40.284444,-87.463075
47992,40.319373,-87.048999
47993,40.309014,-87.412707
47994,40.169249,-87.062127
47995,40.761189,-87.030109
47997,40.667696,-86.723596
